,customer_id,gender,is_senior_citizen,partner,dependents,phone_service,internet_service,contract_type,payment_type,monthly_charges,total_charges,churn,tenure,is_female,has_churned,has_phone,has_internet,has_phone_and_internet,partner_dependents,start_date,average_monthly_charges,validate_monthly_charges,contract_type_desc,phone_type_desc,internet_type_desc,payment_is_automatic
13,0004-TLHLJ,Male,0,No,No,1,2,0,Electronic check,73.9,280.85,Yes,4,False,True,True,True,True,0,20210402,73.9,True,Month-to-Month,One Line,Fiber Optic,False
14,0011-IGKFF,Male,1,Yes,No,1,2,0,Electronic check,98.0,1237.85,Yes,13,False,True,True,True,True,1,20200707,98.0,True,Month-to-Month,One Line,Fiber Optic,False
15,0013-EXCHZ,Female,1,Yes,No,1,2,0,Mailed check,83.9,267.4,Yes,3,True,True,True,True,True,1,20210421,83.9,True,Month-to-Month,One Line,Fiber Optic,False
16,0013-MHZWF,Female,0,No,Yes,1,1,0,Credit card (automatic),69.4,571.45,No,8,True,False,True,True,True,2,20201118,69.4,True,Month-to-Month,One Line,DSL,True
17,0013-SMEOE,Female,1,Yes,No,1,2,2,Bank transfer (automatic),109.7,7904.25,No,72,True,False,True,True,True,1,20150727,109.7,True,2 Year,One Line,Fiber Optic,True
18,0014-BMAQU,Male,0,Yes,No,2,2,2,Credit card (automatic),84.65,5377.8,No,64,False,False,True,True,True,1,20160411,84.65,True,2 Year,Two or More Lines,Fiber Optic,True
19,0015-UOCOJ,Female,1,No,No,1,1,0,Electronic check,48.2,340.35,No,7,True,False,True,True,True,0,20201224,48.2,True,Month-to-Month,One Line,DSL,False
20,0016-QLJIS,Female,0,Yes,Yes,2,1,2,Mailed check,90.45,5957.9,No,66,True,False,True,True,True,3,20160131,90.45,True,2 Year,Two or More Lines,DSL,False
21,0017-DINOC,Male,0,No,No,0,1,2,Credit card (automatic),45.2,2460.55,No,54,False,False,False,True,False,0,20170113,45.2,True,2 Year,No Phone Service,DSL,True
22,0017-IUDMW,Female,0,Yes,Yes,2,2,2,Credit card (automatic),116.8,8456.75,No,72,True,False,True,True,True,3,20150716,116.8,True,2 Year,Two or More Lines,Fiber Optic,True
23,0018-NYROU,Female,0,Yes,No,1,2,0,Electronic check,68.95,351.5,No,5,True,False,True,True,True,1,20210221,68.95,True,Month-to-Month,One Line,Fiber Optic,False
24,0019-EFAEP,Female,0,No,No,2,2,2,Bank transfer (automatic),101.3,7261.25,No,72,True,False,True,True,True,0,20150807,101.3,True,2 Year,Two or More Lines,Fiber Optic,True
25,0019-GFNTW,Female,0,No,No,0,1,2,Bank transfer (automatic),45.05,2560.1,No,57,True,False,False,True,False,0,20161101,45.05,True,2 Year,No Phone Service,DSL,True
26,0020-INWCK,Female,0,Yes,Yes,2,2,2,Credit card (automatic),95.75,6849.4,No,72,True,False,True,True,True,3,20150812,95.75,True,2 Year,Two or More Lines,Fiber Optic,True
27,0020-JDNXP,Female,0,Yes,Yes,0,1,1,Mailed check,61.25,1993.2,No,33,True,False,False,True,False,3,20181110,61.25,True,1 Year,No Phone Service,DSL,False
28,0021-IKXGC,Female,1,No,No,2,2,0,Electronic check,72.1,72.1,No,1,True,False,True,True,True,0,20210626,72.1,True,Month-to-Month,Two or More Lines,Fiber Optic,False
29,0022-TCJCI,Male,1,No,No,1,1,1,Credit card (automatic),62.7,2791.5,Yes,45,False,True,True,True,True,0,20171110,62.7,True,1 Year,One Line,DSL,True
30,0023-HGHWL,Male,1,No,No,0,1,0,Electronic check,25.1,25.1,Yes,1,False,True,False,True,False,0,20210626,25.1,True,Month-to-Month,No Phone Service,DSL,False
31,0023-UYUPN,Female,1,Yes,No,2,0,1,Electronic check,25.2,1306.3,No,52,True,False,True,False,False,1,20170402,25.2,True,1 Year,Two or More Lines,No Internet Service,False
32,0023-XUOPT,Female,0,Yes,No,2,2,0,Electronic check,94.1,1215.6,Yes,13,True,True,True,True,True,1,20200629,94.1,True,Month-to-Month,Two or More Lines,Fiber Optic,False
33,0027-KWYKW,Female,0,Yes,Yes,2,2,0,Electronic check,83.75,1849.95,No,22,True,False,True,True,True,3,20190924,83.75,True,Month-to-Month,Two or More Lines,Fiber Optic,False
34,0030-FNXPP,Female,0,No,No,1,0,0,Mailed check,19.85,57.2,No,3,True,False,True,False,False,0,20210430,19.85,True,Month-to-Month,One Line,No Internet Service,False
35,0031-PVLZI,Female,0,Yes,Yes,1,0,0,Mailed check,20.35,76.35,Yes,4,True,True,True,False,False,3,20210403,20.35,True,Month-to-Month,One Line,No Internet Service,False
36,0032-PGELS,Female,0,Yes,Yes,0,1,0,Bank transfer (automatic),30.5,30.5,Yes,1,True,True,False,True,False,3,20210626,30.5,True,Month-to-Month,No Phone Service,DSL,True
37,0036-IHMOT,Female,0,Yes,Yes,1,2,1,Bank transfer (automatic),103.7,5656.75,No,55,True,False,True,True,True,3,20170109,103.7,True,1 Year,One Line,Fiber Optic,True
38,0040-HALCW,Male,0,Yes,Yes,1,0,2,Credit card (automatic),20.4,1090.6,No,53,False,False,True,False,False,3,20170211,20.4,True,2 Year,One Line,No Internet Service,True
39,0042-JVWOJ,Male,0,No,No,1,0,1,Bank transfer (automatic),19.6,471.85,No,24,False,False,True,False,False,0,20190725,19.6,True,1 Year,One Line,No Internet Service,True
40,0042-RLHYP,Female,0,Yes,Yes,1,0,2,Bank transfer (automatic),19.7,1396.9,No,71,True,False,True,False,False,3,20150831,19.7,True,2 Year,One Line,No Internet Service,True
41,0048-LUMLS,Male,0,Yes,Yes,1,2,1,Credit card (automatic),91.2,3247.55,No,36,False,False,True,True,True,3,20180808,91.2,True,1 Year,One Line,Fiber Optic,True
42,0048-PIHNL,Female,0,Yes,No,1,0,1,Bank transfer (automatic),20.45,900.9,No,44,True,False,True,False,False,1,20171125,20.45,True,1 Year,One Line,No Internet Service,True
43,0052-DCKON,Male,0,Yes,No,2,2,1,Bank transfer (automatic),115.8,7942.15,No,69,False,False,True,True,True,1,20151109,115.8,True,1 Year,Two or More Lines,Fiber Optic,True
44,0052-YNYOT,Female,0,No,No,1,0,1,Electronic check,20.55,1343.4,No,65,True,False,True,False,False,0,20160215,20.55,True,1 Year,One Line,No Internet Service,False
45,0056-EPFBG,Male,0,Yes,Yes,0,1,2,Credit card (automatic),39.4,825.4,No,21,False,False,False,True,False,3,20191028,39.4,True,2 Year,No Phone Service,DSL,True
46,0057-QBUQH,Female,0,No,Yes,2,0,2,Electronic check,25.1,1070.15,No,43,True,False,True,False,False,2,20180107,25.1,True,2 Year,Two or More Lines,No Internet Service,False
47,0058-EVZWM,Female,0,Yes,No,2,2,0,Bank transfer (automatic),89.8,4959.6,No,55,True,False,True,True,True,1,20161220,89.8,True,Month-to-Month,Two or More Lines,Fiber Optic,True
48,0060-FUALY,Female,0,Yes,No,2,2,0,Electronic check,94.75,5597.65,No,59,True,False,True,True,True,1,20160825,94.75,True,Month-to-Month,Two or More Lines,Fiber Optic,False
49,0064-SUDOG,Female,0,Yes,Yes,1,0,2,Bank transfer (automatic),20.3,224.5,No,11,True,False,True,False,False,3,20200824,20.3,True,2 Year,One Line,No Internet Service,True
50,0064-YIJGF,Male,0,Yes,Yes,2,2,0,Bank transfer (automatic),75.75,1929.0,No,25,False,False,True,True,True,3,20190613,75.75,True,Month-to-Month,Two or More Lines,Fiber Optic,True
51,0067-DKWBL,Male,1,No,No,1,1,0,Electronic check,49.25,91.1,Yes,2,False,True,True,True,True,0,20210531,49.25,True,Month-to-Month,One Line,DSL,False
52,0068-FIGTF,Female,0,No,No,1,1,1,Mailed check,78.2,2078.95,No,27,True,False,True,True,True,0,20190510,78.2,True,1 Year,One Line,DSL,False
53,0071-NDAFP,Male,0,Yes,Yes,2,0,2,Credit card (automatic),25.5,630.6,No,25,False,False,True,False,False,3,20190705,25.5,True,2 Year,Two or More Lines,No Internet Service,True
54,0074-HDKDG,Male,0,Yes,Yes,1,1,1,Bank transfer (automatic),61.6,1611.0,No,26,False,False,True,True,True,3,20190523,61.6,True,1 Year,One Line,DSL,True
55,0076-LVEPS,Male,0,No,Yes,0,1,0,Mailed check,45.0,1242.45,No,28,False,False,False,True,False,2,20190409,45.0,True,Month-to-Month,No Phone Service,DSL,False
56,0078-XZMHT,Male,0,Yes,No,2,1,2,Bank transfer (automatic),85.15,6316.2,No,74,False,False,True,True,True,1,20150523,85.15,True,2 Year,Two or More Lines,DSL,True
57,0080-EMYVY,Female,0,No,No,1,1,1,Credit card (automatic),51.45,727.85,No,14,True,False,True,True,True,0,20200522,51.45,True,1 Year,One Line,DSL,True
58,0080-OROZO,Female,0,No,No,1,2,1,Electronic check,99.25,3532.0,No,36,True,False,True,True,True,0,20180809,99.25,True,1 Year,One Line,Fiber Optic,False
59,0082-LDZUE,Male,0,No,No,1,1,0,Mailed check,44.3,44.3,No,1,False,False,True,True,True,0,20210626,44.3,True,Month-to-Month,One Line,DSL,False
60,0082-OQIQY,Male,0,No,No,1,2,0,Electronic check,94.2,2607.6,No,28,False,False,True,True,True,0,20190407,94.2,True,Month-to-Month,One Line,Fiber Optic,False
61,0083-PIVIK,Male,0,No,No,2,1,1,Electronic check,81.25,5567.55,No,69,False,False,True,True,True,0,20151111,81.25,True,1 Year,Two or More Lines,DSL,False
62,0089-IIQKO,Female,0,Yes,Yes,2,2,0,Credit card (automatic),99.95,3767.4,No,38,True,False,True,True,True,3,20180606,99.95,True,Month-to-Month,Two or More Lines,Fiber Optic,True
63,0093-EXYQL,Female,1,No,No,1,2,0,Electronic check,91.55,3673.6,No,40,True,False,True,True,True,0,20180324,91.55,True,Month-to-Month,One Line,Fiber Optic,False
64,0093-XWZFY,Male,0,No,No,2,2,0,Credit card (automatic),104.5,4036.85,Yes,39,False,True,True,True,True,0,20180508,104.5,True,Month-to-Month,Two or More Lines,Fiber Optic,True
65,0094-OIFMO,Female,1,No,No,1,2,0,Electronic check,95.0,1120.3,Yes,12,True,True,True,True,True,0,20200802,95.0,True,Month-to-Month,One Line,Fiber Optic,False
66,0096-BXERS,Female,0,Yes,No,2,1,0,Electronic check,50.35,314.55,No,6,True,False,True,True,True,1,20210117,50.35,True,Month-to-Month,Two or More Lines,DSL,False
67,0096-FCPUF,Male,0,No,No,2,1,0,Mailed check,64.5,1888.45,No,29,False,False,True,True,True,0,20190217,64.5,True,Month-to-Month,Two or More Lines,DSL,False
68,0098-BOWSO,Male,0,No,No,1,0,0,Electronic check,19.4,529.8,No,27,False,False,True,False,False,0,20190418,19.4,True,Month-to-Month,One Line,No Internet Service,False
69,0100-DUVFC,Male,1,Yes,No,2,2,1,Electronic check,104.8,7308.95,No,70,False,False,True,True,True,1,20151005,104.8,True,1 Year,Two or More Lines,Fiber Optic,False
70,0103-CSITQ,Female,0,Yes,No,2,2,1,Bank transfer (automatic),109.4,6252.7,No,57,True,False,True,True,True,1,20161022,109.4,True,1 Year,Two or More Lines,Fiber Optic,True
71,0104-PPXDV,Male,0,Yes,No,1,1,1,Credit card (automatic),50.3,2878.55,No,57,False,False,True,True,True,1,20161020,50.3,True,1 Year,One Line,DSL,True
72,0106-GHRQR,Male,0,No,No,2,1,0,Bank transfer (automatic),71.4,1212.1,No,17,False,False,True,True,True,0,20200226,71.4,True,Month-to-Month,Two or More Lines,DSL,True
73,0106-UGRDO,Female,0,Yes,No,2,2,2,Electronic check,116.0,8182.85,No,71,True,False,True,True,True,1,20150911,116.0,True,2 Year,Two or More Lines,Fiber Optic,False
74,0107-WESLM,Male,0,No,No,1,0,0,Electronic check,19.85,19.85,Yes,1,False,True,True,False,False,0,20210626,19.85,True,Month-to-Month,One Line,No Internet Service,False
75,0107-YHINA,Male,0,No,Yes,2,2,0,Electronic check,99.75,99.75,Yes,1,False,True,True,True,True,2,20210626,99.75,True,Month-to-Month,Two or More Lines,Fiber Optic,False
76,0111-KLBQG,Male,1,Yes,Yes,1,2,0,Mailed check,93.95,2861.45,No,30,False,False,True,True,True,3,20190112,93.95,True,Month-to-Month,One Line,Fiber Optic,False
77,0112-QAWRZ,Male,0,Yes,Yes,2,2,0,Bank transfer (automatic),90.8,1442.2,No,16,False,False,True,True,True,3,20200330,90.8,True,Month-to-Month,Two or More Lines,Fiber Optic,True
78,0112-QWPNC,Male,0,Yes,No,2,1,1,Electronic check,84.35,4059.35,Yes,48,False,True,True,True,True,1,20170724,84.35,True,1 Year,Two or More Lines,DSL,False
79,0114-IGABW,Female,0,Yes,No,0,1,2,Bank transfer (automatic),58.25,4145.9,No,71,True,False,False,True,False,1,20150823,58.25,True,2 Year,No Phone Service,DSL,True
80,0114-PEGZZ,Female,0,No,No,2,2,0,Electronic check,107.55,3645.5,No,34,True,False,True,True,True,0,20180930,107.55,True,Month-to-Month,Two or More Lines,Fiber Optic,False
81,0114-RSRRW,Female,0,Yes,No,1,0,0,Bank transfer (automatic),19.95,187.75,No,9,True,False,True,False,False,1,20201013,19.95,True,Month-to-Month,One Line,No Internet Service,True
82,0115-TFERT,Male,0,Yes,No,2,2,0,Electronic check,111.2,2317.1,Yes,21,False,True,True,True,True,1,20191101,111.2,True,Month-to-Month,Two or More Lines,Fiber Optic,False
83,0117-LFRMW,Male,0,Yes,Yes,0,1,0,Bank transfer (automatic),40.2,1448.8,Yes,36,False,True,False,True,False,3,20180726,40.2,True,Month-to-Month,No Phone Service,DSL,True
84,0118-JPNOY,Female,1,No,No,1,2,0,Credit card (automatic),85.8,2193.65,No,26,True,False,True,True,True,0,20190610,85.8,True,Month-to-Month,One Line,Fiber Optic,True
85,0121-SNYRK,Male,0,No,No,0,1,1,Mailed check,35.4,1748.9,No,49,False,False,False,True,False,0,20170615,35.4,True,1 Year,No Phone Service,DSL,False
86,0122-OAHPZ,Female,0,No,No,2,2,0,Electronic check,73.85,511.25,Yes,7,True,True,True,True,True,0,20201228,73.85,True,Month-to-Month,Two or More Lines,Fiber Optic,False
87,0123-CRBRT,Female,0,Yes,Yes,2,1,2,Mailed check,88.1,5526.75,No,63,True,False,True,True,True,3,20160505,88.1,True,2 Year,Two or More Lines,DSL,False
88,0125-LZQXK,Male,0,No,No,1,2,0,Electronic check,101.35,1553.95,Yes,15,False,True,True,True,True,0,20200416,101.35,True,Month-to-Month,One Line,Fiber Optic,False
89,0128-MKWSG,Female,0,No,Yes,0,1,0,Mailed check,45.8,1147.0,No,25,True,False,False,True,False,2,20190626,45.8,True,Month-to-Month,No Phone Service,DSL,False
90,0129-KPTWJ,Male,0,Yes,No,1,2,0,Electronic check,94.65,6747.35,No,71,False,False,True,True,True,1,20150819,94.65,True,Month-to-Month,One Line,Fiber Optic,False
91,0129-QMPDR,Male,0,Yes,Yes,1,0,1,Bank transfer (automatic),20.5,865.05,No,42,False,False,True,False,False,3,20180120,20.5,True,1 Year,One Line,No Internet Service,True
92,0130-SXOUN,Male,0,No,No,2,2,0,Credit card (automatic),89.4,5976.9,No,67,False,False,True,True,True,0,20160101,89.4,True,Month-to-Month,Two or More Lines,Fiber Optic,True
93,0133-BMFZO,Female,0,No,No,1,2,0,Electronic check,86.25,181.65,Yes,2,True,True,True,True,True,0,20210523,86.25,True,Month-to-Month,One Line,Fiber Optic,False
94,0134-XWXCE,Female,1,No,No,1,1,1,Bank transfer (automatic),74.85,3268.05,No,44,True,False,True,True,True,0,20171206,74.85,True,1 Year,One Line,DSL,True
95,0135-NMXAP,Female,0,No,No,2,2,0,Bank transfer (automatic),89.75,1052.4,Yes,12,True,True,True,True,True,0,20200804,89.75,True,Month-to-Month,Two or More Lines,Fiber Optic,True
96,0136-IFMYD,Male,1,Yes,No,2,2,2,Electronic check,109.95,7634.25,No,69,False,False,True,True,True,1,20151015,109.95,True,2 Year,Two or More Lines,Fiber Optic,False
97,0137-OCGAB,Female,0,No,No,2,2,0,Mailed check,80.2,80.2,Yes,1,True,True,True,True,True,0,20210626,80.2,True,Month-to-Month,Two or More Lines,Fiber Optic,False
98,0137-UDEUO,Female,0,No,No,1,0,0,Mailed check,19.85,63.75,Yes,3,True,True,True,False,False,0,20210420,19.85,True,Month-to-Month,One Line,No Internet Service,False
99,0139-IVFJG,Female,0,Yes,No,1,2,0,Electronic check,90.35,190.5,No,2,True,False,True,True,True,1,20210523,90.35,True,Month-to-Month,One Line,Fiber Optic,False
100,0141-YEAYS,Female,1,No,No,2,2,0,Bank transfer (automatic),86.45,2401.05,No,28,True,False,True,True,True,0,20190404,86.45,True,Month-to-Month,Two or More Lines,Fiber Optic,True
101,0142-GVYSN,Male,0,No,No,1,0,0,Electronic check,20.3,511.25,No,25,False,False,True,False,False,0,20190621,20.3,True,Month-to-Month,One Line,No Internet Service,False
102,0147-ESWWR,Female,1,Yes,No,2,2,0,Electronic check,101.25,3949.15,No,39,True,False,True,True,True,1,20180427,101.25,True,Month-to-Month,Two or More Lines,Fiber Optic,False
103,0148-DCDOS,Male,0,No,No,2,2,0,Bank transfer (automatic),94.7,2362.1,Yes,25,False,True,True,True,True,0,20190629,94.7,True,Month-to-Month,Two or More Lines,Fiber Optic,True
104,0151-ONTOV,Female,0,No,No,1,2,0,Mailed check,70.9,70.9,Yes,1,True,True,True,True,True,0,20210626,70.9,True,Month-to-Month,One Line,Fiber Optic,False
105,0156-FVPTA,Male,0,Yes,No,1,1,0,Electronic check,54.2,1152.7,Yes,21,False,True,True,True,True,1,20191019,54.2,True,Month-to-Month,One Line,DSL,False
106,0164-APGRB,Female,0,No,No,2,2,2,Electronic check,114.9,8496.7,No,74,True,False,True,True,True,0,20150530,114.9,True,2 Year,Two or More Lines,Fiber Optic,False
107,0164-XAIRP,Female,0,No,No,1,0,2,Bank transfer (automatic),19.55,470.2,No,24,True,False,True,False,False,0,20190726,19.55,True,2 Year,One Line,No Internet Service,True
108,0168-XZKBB,Female,0,Yes,No,2,2,0,Electronic check,86.85,1564.4,No,18,True,False,True,True,True,1,20200126,86.85,True,Month-to-Month,Two or More Lines,Fiber Optic,False
109,0174-QRVVY,Male,0,Yes,Yes,2,0,2,Credit card (automatic),25.35,1847.55,No,73,False,False,True,False,False,3,20150702,25.35,True,2 Year,Two or More Lines,No Internet Service,True
110,0177-PXBAT,Male,1,Yes,No,2,2,0,Bank transfer (automatic),109.9,3694.7,No,34,False,False,True,True,True,1,20181008,109.9,True,Month-to-Month,Two or More Lines,Fiber Optic,True
111,0178-CIIKR,Female,0,No,No,1,0,0,Mailed check,19.95,58.0,No,3,True,False,True,False,False,0,20210429,19.95,True,Month-to-Month,One Line,No Internet Service,False
112,0178-SZBHO,Male,0,Yes,Yes,2,2,0,Electronic check,87.2,4017.45,No,46,False,False,True,True,True,3,20170924,87.2,True,Month-to-Month,Two or More Lines,Fiber Optic,False
113,0181-RITDD,Male,0,Yes,Yes,1,2,2,Mailed check,108.15,6825.65,No,63,False,False,True,True,True,3,20160424,108.15,True,2 Year,One Line,Fiber Optic,False
114,0186-CAERR,Male,0,No,No,2,2,1,Bank transfer (automatic),116.3,8309.55,No,71,False,False,True,True,True,0,20150814,116.3,True,1 Year,Two or More Lines,Fiber Optic,True
115,0187-QSXOE,Male,1,Yes,No,1,2,0,Electronic check,89.0,605.45,No,7,False,False,True,True,True,1,20210101,89.0,True,Month-to-Month,One Line,Fiber Optic,False
116,0187-WZNAB,Female,0,Yes,Yes,1,2,0,Mailed check,74.4,1972.35,No,27,True,False,True,True,True,3,20190512,74.4,True,Month-to-Month,One Line,Fiber Optic,False
117,0188-GWFLE,Male,0,No,No,1,0,0,Mailed check,20.05,33.7,No,2,False,False,True,False,False,0,20210605,20.05,True,Month-to-Month,One Line,No Internet Service,False
118,0191-EQUUH,Female,0,No,Yes,0,1,2,Bank transfer (automatic),35.05,844.45,No,24,True,False,False,True,False,2,20190725,35.05,True,2 Year,No Phone Service,DSL,True
119,0191-ZHSKZ,Male,1,No,No,1,1,0,Electronic check,74.75,2111.3,No,28,False,False,True,True,True,0,20190320,74.75,True,Month-to-Month,One Line,DSL,False
120,0193-ESZXP,Female,1,Yes,No,1,2,1,Credit card (automatic),105.5,6205.5,Yes,59,True,True,True,True,True,1,20160901,105.5,True,1 Year,One Line,Fiber Optic,True
121,0195-IESCP,Male,0,Yes,No,2,2,0,Electronic check,85.25,855.3,Yes,10,False,True,True,True,True,1,20200924,85.25,True,Month-to-Month,Two or More Lines,Fiber Optic,False
122,0196-JTUQI,Female,0,No,No,2,2,0,Credit card (automatic),75.2,633.85,No,8,True,False,True,True,True,0,20201112,75.2,True,Month-to-Month,Two or More Lines,Fiber Optic,True
123,0196-VULGZ,Female,1,Yes,No,2,2,0,Electronic check,84.35,474.9,Yes,6,True,True,True,True,True,1,20210205,84.35,True,Month-to-Month,Two or More Lines,Fiber Optic,False
124,0197-PNKNK,Female,0,Yes,Yes,2,2,1,Bank transfer (automatic),84.45,5848.6,No,69,True,False,True,True,True,3,20151020,84.45,True,1 Year,Two or More Lines,Fiber Optic,True
125,0201-MIBOL,Female,1,No,No,2,2,2,Bank transfer (automatic),102.4,6471.85,No,63,True,False,True,True,True,0,20160421,102.4,True,2 Year,Two or More Lines,Fiber Optic,True
126,0201-OAMXR,Female,0,No,No,2,2,1,Credit card (automatic),115.55,8127.6,Yes,70,True,True,True,True,True,0,20150917,115.55,True,1 Year,Two or More Lines,Fiber Optic,True
127,0203-HHYIJ,Male,0,No,No,2,0,1,Bank transfer (automatic),25.3,676.35,Yes,27,False,True,True,False,False,0,20190505,25.3,True,1 Year,Two or More Lines,No Internet Service,True
128,0206-OYVOC,Female,0,Yes,Yes,1,0,2,Mailed check,19.25,864.2,No,45,True,False,True,False,False,3,20171030,19.25,True,2 Year,One Line,No Internet Service,False
129,0206-TBWLC,Female,0,Yes,No,2,2,1,Mailed check,114.65,6049.5,No,53,True,False,True,True,True,1,20170305,114.65,True,1 Year,Two or More Lines,Fiber Optic,False
130,0207-MDKNV,Female,0,No,No,1,2,0,Electronic check,105.1,1582.75,Yes,15,True,True,True,True,True,0,20200424,105.1,True,Month-to-Month,One Line,Fiber Optic,False
131,0208-BPQEJ,Female,0,Yes,Yes,1,0,0,Bank transfer (automatic),19.4,198.1,No,10,True,False,True,False,False,3,20200919,19.4,True,Month-to-Month,One Line,No Internet Service,True
132,0212-ISBBF,Female,0,No,No,0,1,0,Electronic check,50.35,1098.85,No,22,True,False,False,True,False,0,20191002,50.35,True,Month-to-Month,No Phone Service,DSL,False
133,0214-JHPFW,Female,0,Yes,No,0,1,2,Bank transfer (automatic),57.8,4039.3,No,70,True,False,False,True,False,1,20151001,57.8,True,2 Year,No Phone Service,DSL,True
134,0215-BQKGS,Male,0,No,No,1,2,0,Credit card (automatic),84.3,2438.6,No,29,False,False,True,True,True,0,20190228,84.3,True,Month-to-Month,One Line,Fiber Optic,True
135,0218-QNVAS,Male,0,Yes,Yes,2,2,1,Bank transfer (automatic),100.55,7113.75,No,71,False,False,True,True,True,3,20150905,100.55,True,1 Year,Two or More Lines,Fiber Optic,True
136,0219-QAERP,Male,0,Yes,No,1,0,1,Credit card (automatic),19.8,576.65,No,29,False,False,True,False,False,1,20190222,19.8,True,1 Year,One Line,No Internet Service,True
137,0219-YTZUE,Male,0,Yes,Yes,2,2,0,Bank transfer (automatic),84.8,371.9,Yes,4,False,True,True,True,True,3,20210315,84.8,True,Month-to-Month,Two or More Lines,Fiber Optic,True
138,0220-EBGCE,Male,0,No,No,1,2,0,Electronic check,85.85,167.3,Yes,2,False,True,True,True,True,0,20210528,85.85,True,Month-to-Month,One Line,Fiber Optic,False
139,0221-NAUXK,Male,0,No,Yes,1,0,1,Bank transfer (automatic),19.95,219.5,No,11,False,False,True,False,False,2,20200826,19.95,True,1 Year,One Line,No Internet Service,True
140,0221-WMXNQ,Male,1,No,No,1,2,0,Electronic check,75.35,273.4,No,4,False,False,True,True,True,0,20210407,75.35,True,Month-to-Month,One Line,Fiber Optic,False
141,0222-CNVPT,Male,1,No,No,0,1,0,Credit card (automatic),48.8,2555.05,No,52,False,False,False,True,False,0,20170317,48.8,True,Month-to-Month,No Phone Service,DSL,True
142,0224-HJAPT,Male,0,No,No,2,1,0,Electronic check,47.15,223.15,Yes,5,False,True,True,True,True,0,20210305,47.15,True,Month-to-Month,Two or More Lines,DSL,False
143,0224-NIJLP,Male,0,Yes,Yes,1,0,2,Mailed check,20.15,165.5,No,8,False,False,True,False,False,3,20201119,20.15,True,2 Year,One Line,No Internet Service,False
144,0224-RLWWD,Female,1,No,No,1,1,0,Electronic check,44.3,89.3,No,2,True,False,True,True,True,0,20210526,44.3,True,Month-to-Month,One Line,DSL,False
145,0225-ZORZP,Male,0,No,No,1,2,0,Electronic check,84.3,235.05,No,3,False,False,True,True,True,0,20210503,84.3,True,Month-to-Month,One Line,Fiber Optic,False
146,0228-MAUWC,Male,0,No,No,2,1,0,Electronic check,59.55,1144.6,No,19,False,False,True,True,True,0,20191220,59.55,True,Month-to-Month,Two or More Lines,DSL,False
147,0229-LFJAF,Male,0,No,No,2,1,2,Bank transfer (automatic),69.65,4908.25,No,70,False,False,True,True,True,0,20150913,69.65,True,2 Year,Two or More Lines,DSL,True
148,0230-UBYPQ,Male,1,Yes,No,0,1,1,Bank transfer (automatic),36.1,2298.9,No,64,False,False,False,True,False,1,20160407,36.1,True,1 Year,No Phone Service,DSL,True
